id,order_number,serial_number,mac_address,used,test_result,timestamp,operator,created_at,updated_at,post_testing_changes
, , ,00:13:C6:13:40:7B,False,False,, ,,, 
, , ,00:13:C6:13:40:7C,False,False,, ,,, 
, , ,00:13:C6:13:40:7D,False,False,, ,,, 
, , ,00:13:C6:13:40:7E,False,False,, ,,, 
, , ,00:13:C6:13:40:7F,False,False,, ,,, 
, , ,00:13:C6:13:40:80,False,False,, ,,, 
, , ,00:13:C6:13:40:81,False,False,, ,,, 
, , ,00:13:C6:13:40:82,False,False,, ,,, 
, , ,00:13:C6:13:40:83,False,False,, ,,, 
, , ,00:13:C6:13:40:84,False,False,, ,,, 
, , ,00:13:C6:13:40:85,False,False,, ,,, 
, , ,00:13:C6:13:40:86,False,False,, ,,, 
, , ,00:13:C6:13:40:87,False,False,, ,,, 
, , ,00:13:C6:13:40:88,False,False,, ,,, 
, , ,00:13:C6:13:40:89,False,False,, ,,, 
, , ,00:13:C6:13:40:8A,False,False,, ,,, 
, , ,00:13:C6:13:40:8B,False,False,, ,,, 
, , ,00:13:C6:13:40:8C,False,False,, ,,, 
, , ,00:13:C6:13:40:8D,False,False,, ,,, 
, , ,00:13:C6:13:40:8E,False,False,, ,,, 
, , ,00:13:C6:13:40:8F,False,False,, ,,, 
, , ,00:13:C6:13:40:90,False,False,, ,,, 
, , ,00:13:C6:13:40:91,False,False,, ,,, 
, , ,00:13:C6:13:40:92,False,False,, ,,, 
, , ,00:13:C6:13:40:93,False,False,, ,,, 
, , ,00:13:C6:13:40:94,False,False,, ,,, 
, , ,00:13:C6:13:40:95,False,False,, ,,, 
, , ,00:13:C6:13:40:96,False,False,, ,,, 
, , ,00:13:C6:13:40:97,False,False,, ,,, 
, , ,00:13:C6:13:40:98,False,False,, ,,, 
, , ,00:13:C6:13:40:99,False,False,, ,,, 
, , ,00:13:C6:13:40:9A,False,False,, ,,, 
, , ,00:13:C6:13:40:9B,False,False,, ,,, 
, , ,00:13:C6:13:40:9C,False,False,, ,,, 
, , ,00:13:C6:13:40:9D,False,False,, ,,, 
, , ,00:13:C6:13:40:9E,False,False,, ,,, 
, , ,00:13:C6:13:40:9F,False,False,, ,,, 
, , ,00:13:C6:13:40:A0,False,False,, ,,, 
, , ,00:13:C6:13:40:A1,False,False,, ,,, 
, , ,00:13:C6:13:40:A2,False,False,, ,,, 
, , ,00:13:C6:13:40:A3,False,False,, ,,, 
